province,zone,form_type,voting_type,station_id,station_name,candidate_no,candidate_name,party,votes,total_ballots,invalid_ballots,no_vote_ballots
ชัยภูมิ,2,518,election_day,42,บ้านขาม จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,5,,,
ชัยภูมิ,2,518,election_day,42,บ้านขาม จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,44,บ้านขาม จัตุรัส,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,,,,
ชัยภูมิ,2,518,election_day,44,บ้านขาม จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,44,บ้านขาม จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,41,,,
ชัยภูมิ,2,518,election_day,44,บ้านขาม จัตุรัส,6,นายโสโชค สู้โนนตาด,รวมไทยสร้างชาติ,,,,
ชัยภูมิ,2,518,election_day,45,บ้านขาม จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,3,,,
ชัยภูมิ,2,518,election_day,45,บ้านขาม จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,16,,,
ชัยภูมิ,2,518,election_day,46,ละหาน จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,2,,,
ชัยภูมิ,2,518,election_day,46,ละหาน จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,2,,,
ชัยภูมิ,2,518,election_day,46,ละหาน จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,9,,,
ชัยภูมิ,2,518,election_day,46,ละหาน จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,2,,,
ชัยภูมิ,2,518,election_day,47,ละหาน จัตุรัส,1,นายประเสริฐศักดิ์ จำหนัก,ไทยก้าวใหม่,,,,
ชัยภูมิ,2,518,election_day,47,ละหาน จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,47,ละหาน จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,47,ละหาน จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,47,ละหาน จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,47,ละหาน จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,9,,,
ชัยภูมิ,2,518,election_day,48,ละหาน จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,48,ละหาน จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,18,,,
ชัยภูมิ,2,518,election_day,48,ละหาน จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,18,,,
ชัยภูมิ,2,518,election_day,48,ละหาน จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,3,,,
ชัยภูมิ,2,518,election_day,49,ละหาน จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,,,,
ชัยภูมิ,2,518,election_day,49,ละหาน จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,,,,
ชัยภูมิ,2,518,election_day,49,ละหาน จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,,,,
ชัยภูมิ,2,518,election_day,49,ละหาน จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,,,,
ชัยภูมิ,2,518,election_day,49,ละหาน จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,183,,,
ชัยภูมิ,2,518,election_day,50,ละหาน จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,909,,,
ชัยภูมิ,2,518,election_day,50,ละหาน จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,909,,,
ชัยภูมิ,2,518,election_day,50,ละหาน จัตุรัส,4,นายณรงค์ แขนอก,ประชาธิปัตย์,909,,,
ชัยภูมิ,2,518,election_day,50,ละหาน จัตุรัส,5,นายทัศนัย สุขประสาร,ภูมิใจไทย,4,,,
ชัยภูมิ,2,518,election_day,50,ละหาน จัตุรัส,8,นายกวัสย์ หงษ์ไทย,เศรษฐกิจ,,,,
ชัยภูมิ,2,518,election_day,51,ละหาน จัตุรัส,2,นางสาววาสนา อยู่ภักดี,ประชาชน,51,,,
ชัยภูมิ,2,518,election_day,51,ละหาน จัตุรัส,3,นายเชิงชาย ชาลีรินทร์,เพื่อไทย,5,,,
