priority,reason,suggested_action,row_index,province,form_type,vote_type,polling_station_no,choice_no,choice_name,party_name,votes,ballots_cast,valid_votes,invalid_votes,no_vote,ocr_confidence,validation_status,source_pdf,source_page
P0,missing_votes,Open source PDF page and type the vote value manually.,6,ชัยภูมิ,5_16_partylist,party_list,,3,,a,,,,,,0.6823,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,2
P0,missing_votes,Open source PDF page and type the vote value manually.,7,ชัยภูมิ,5_16_partylist,party_list,,1,,a a,,,,,,0.6823,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,2
P0,missing_votes,Open source PDF page and type the vote value manually.,8,ชัยภูมิ,5_16_partylist,party_list,,32,,a,,,,,,0.6823,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,2
P0,missing_votes,Open source PDF page and type the vote value manually.,9,ชัยภูมิ,5_16_partylist,party_list,,54,,ou,,,,,,0.7043,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,3
P0,missing_votes,Open source PDF page and type the vote value manually.,10,ชัยภูมิ,5_16_partylist,party_list,,55,,ou,,,,,,0.7043,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-บัญชีรายชื่อ-นอกเขต.pdf,3
P0,missing_votes,Open source PDF page and type the vote value manually.,1,ชัยภูมิ,5_16,constituency,,8,Asf o,,,,,,,0.6855,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส.5_16-แบ่งเขต-นอกเขต.pdf,1
P1,master_data_unmatched,Confirm spelling and add alias or correction in external master/correction files.,21,ชัยภูมิ,5_17_partylist,party_list,,7,,V...,3.0,,,,,0.7051,ok,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,1
P1,master_data_unmatched,Confirm spelling and add alias or correction in external master/correction files.,22,ชัยภูมิ,5_17_partylist,party_list,,8,,C,,,,,,0.7051,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,1
P1,parser_marked_needs_review,Resolve parser/OCR uncertainty and add manual correction if repeatable.,22,ชัยภูมิ,5_17_partylist,party_list,,8,,C,,,,,,0.7051,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,1
P1,low_ocr_confidence,Review the raw image/PDF crop before accepting this row.,23,ชัยภูมิ,5_17_partylist,party_list,,3,,rs,,,,,,0.643,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,2
P1,master_data_unmatched,Confirm spelling and add alias or correction in external master/correction files.,23,ชัยภูมิ,5_17_partylist,party_list,,3,,rs,,,,,,0.643,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,2
P1,parser_marked_needs_review,Resolve parser/OCR uncertainty and add manual correction if repeatable.,23,ชัยภูมิ,5_17_partylist,party_list,,3,,rs,,,,,,0.643,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,2
P1,low_ocr_confidence,Review the raw image/PDF crop before accepting this row.,24,ชัยภูมิ,5_17_partylist,party_list,,31,,rs y$,,,,,,0.643,needs_review,/Users/pornmongkol/Documents/ProjectDSDE_election2026/data/raw/pdfs/extracted/เขตเลือกตั้งที่ 2/02-แบบ ส.ส. 5_17-บัญชีรายชื่อ-นอกเขต.pdf,2
